id,name
2507,Grilled Liver
2508,Grilled Tilapia Hollandaise
2509,Harvest Grain ‘N Nut® Pancakes (4)
2510,Hash Brown Crusted Chicken with Country Gravy
2511,Hash Brown Crusted Chicken with Sausage Gravy
2512,Herbal Tea
2513,Hot Chocolate
2514,Hot Tea
2515,House Salad
2516,House Salad
2517,House Salad
2518,House Salad
2519,Huevos Rancheros
2520,"Ice Cream Sundae (Ice Cream, Whipped Topping & Cherry)"
2521,"Ice Cream, Chocolate, (1) scoop"
2522,"Ice Cream, Strawberry, (1) scoop"
2523,"Ice Cream, Vanilla, (1) scoop"
2524,"Iced Coffee, Mocha"
2525,"Iced Coffee, Original"
2526,"Iced Coffee, Vanilla"
2527,"Iced Tea, 10 fl oz"
2528,"Iced Tea, 12 fl oz (Kid’s Cup)"
2529,"Iced Tea, 16 fl oz"
2530,"International Crepe Passport, Fresh Fruit"
2531,"International Crepe Passport, German"
2532,"International Crepe Passport, Nutella®"
2533,"International Crepe Passport, Strawberry Banana Danish"
2534,Cheeseburger – Protein® Style (Bun replaced with Lettuce)
2535,Cheeseburger w/Mustard & Ketchup Instead of Spread
2536,Cheeseburger w/Onion
2537,Chocolate Shake
2538,Double-Double® – Protein® Style (Bun replaced with Lettuce)
2539,Double-Double® w/Mustard & Ketchup Instead of Spread
2540,Double-Double® w/Onion
2541,French Fries
2542,Strawberry Shake
2543,Vanilla Shake
2544,Beef Taco (1 Taco)
2545,Beef Taco (2 Tacos)
2546,Big Cheeseburger
2547,Big Cheeseburger
2548,Breakfast Jack®
2549,Breakfast Jack®
2550,Breakfast Pita Pocket
2551,Chicken Club Salad w/ Crispy Chicken Strips**
2552,Chicken Club Salad w/ Grilled Chicken Strips**
2553,Chicken Fajita Pita made w/ Whole Grain (no salsa)
2554,Chicken Fajita Pita made w/ Whole Grain (no salsa)
2555,Chicken Fajita Pita made w/ Whole Grain (w/ salsa)
2556,Chicken Sandwich
2557,Chicken Sandwich
2558,"Chicken Strips, Crispy 2 pc."
2559,"Chicken Strips, Crispy 4 pc."
2560,"Chicken Strips, Grilled 2 pc."
2561,"Chicken Strips, Grilled 4 pc."
2562,Chicken Teriyaki Bowl
2563,Chicken Teriyaki Bowl
2564,Chiquita® Apple Bites with Caramel
2565,Chiquita® Apple Bites with Caramel
2566,Chiquita® Apple Bites with Caramel
2567,Chocolate Lowfat Milk Chug 1%
2568,Chocolate Overload™ Cake
2569,Creamy Southwest Dressing
2570,Egg Roll 1 pc.
2571,Egg Roll 3 pc.
2572,Extreme Sausage® Sandwich
2573,Fish and Chips (Seasonal) w/ large French Fries
2574,Fish and Chips (Seasonal) w/ medium French Fries
2575,Fish and Chips (Seasonal) w/ small French Fries
2576,Fish Sandwich (Seasonal)
2577,"Flavored Iced Tea, Mango 24 fl oz."
2578,"Flavored Iced Tea, Peach 24 fl oz."
2579,"Flavored Iced Tea, Raspberry 24 fl oz."
2580,French Fries (Kid’s)
2581,"French Fries, large"
2582,"French Fries, medium"
2583,"French Fries, small"
2584,French Toast Sticks 2 pc.
2585,French Toast Sticks 4 pc.
2586,Gourmet Seasoned Croutons
2587,Grilled Breakfast Sandwich
2588,Grilled Cheese Sandwich
2589,Grilled Cheese Sandwich
2590,Grilled Chicken Salad**
2591,Grilled Chicken Salad**
