id,name,restaurant_id,category_id
504,2 piece Dinner (leg & thigh),5,5
505,2 piece Dinner (leg & thigh),5,5
506,2 Piece Supremes Kids’ Meal,5,15
507,2 Sausage Biscuits,5,17
508,20 piece & 10 biscuit box serves 9-11),5,5
509,3 piece Dinner (leg & 2 thighs),5,5
510,3 piece Dinner (leg & 2 thighs),5,5
511,3 wing Dinner,5,5
512,3 wing Dinner,5,5
513,8 piece & 4 biscuit box (serves 3-5),5,5
514,Bo-Berry Biscuit,5,4
515,Bo-Tato Rounds,5,3
516,Bo-Tato Rounds,5,3
517,Bo-Tato Rounds,5,3
518,Bojangles Cajun Pintos,5,3
519,Bojangles Cajun Pintos,5,3
520,Bojangles’ Dirty Rice,5,3
521,Bojangles’ Dirty Rice,5,3
522,Breast,5,8
523,Cajun Filet Biscuit,5,3
524,Cajun Filet Club Sandwich,5,12
525,Cajun Filet Sandwich,5,12
526,Chicken Leg Kids’ meal,5,15
527,Chicken Supremes Salad,5,11
528,Cinnamon Pecan Twist,5,4
529,Coffee (16oz),5,1
530,Coffee (22oz),5,1
531,Cole Slaw,5,3
532,Cole Slaw,5,3
533,Egg & Cheese Biscuit,5,17
534,Garden Salad,5,11
535,Gravy Biscuit,5,17
536,Green Beans,5,3
537,Green Beans,5,3
538,Grilled Chicken Club,5,12
539,Grilled Chicken Salad,5,11
540,Grilled Chicken Sandwich,5,12
541,Leg,5,8
542,Mac ‘N Cheese Kids’ Meal,5,15
543,Macaroni ‘N Cheese,5,3
544,Macaroni ‘N Cheese,5,3
545,Mashed Potatoes ‘N Gravy,5,3
546,Mashed Potatoes ‘N Gravy,5,3
547,Picnic Grits,5,3
548,Plain Biscuit,5,17
549,Roasted Chicken Bites,5,8
550,Sausage & Egg Biscuit,5,17
551,Sausage Biscuit,5,17
552,Seasoned Fries,5,3
553,Seasoned Fries,5,3
554,Seasoned Fries,5,3
555,Steak Biscuit,5,3
556,Supreme,5,8
557,"Sweet Iced Tea (16oz, with ice)",5,1
558,"Sweet Iced Tea (22oz, with ice)",5,1
559,"Sweet Iced Tea (32oz, with ice)",5,1
560,Sweet Potato Pie,5,4
561,Thigh,5,8
562,"Unsweetened Iced Tea (16oz, with ice)",5,1
563,"Unsweetened Iced Tea (22oz, with ice)",5,1
564,"Unsweetened Iced Tea (32oz, with ice)",5,1
565,Wing,5,8
566,1/2 lb Popcorn Shrimp,6,9
567,3/4 lb Popcorn Shrimp,6,10
568,Asian Zing,6,20
569,Ballpark Sampler,6,10
570,Big Jack Daddy Burger,6,7
571,Black & Bleu Burger,6,7
572,Blazin ®,6,20
573,Boneless (each),6,21
574,Boneless Wings &Traditional Wings,6,5
575,Boneless Wings (4),6,15
576,Breaded Tenders (each),6,8
577,Buffalo Chicken Flatbread,6,12
578,Buffalo Chips Basket,6,3
579,Buffalo Chips Basket with cheese,6,3
580,Buffalo Chips Regular,6,3
581,Buffalo Chips Regular,6,3
582,Buffalo Chips Regular with cheese,6,3
583,Buffalo Ranch Chicken Sandwich,6,12
584,Buffalo Ranch Chicken Wrap,6,16
585,Caribbean Jerk,6,20
586,Cheeseburger,6,7
587,Cheeseburger Slammers,6,10
588,Chicken Caesar Salad,6,11
589,Chicken Caesar Wrap,6,16
590,Chicken Quesadilla,6,10
591,Chicken Tender Salad,6,11
592,Chicken Tender Wrap,6,16
593,Chicken Tenders & Popcorn Shrimp,6,5
594,Chicken Tenders (3),6,15
595,Chili Con Queso Dip,6,10
596,Chili Queso Burger,6,7
597,Chips & Salsa,6,10
598,Chocolate Fudge Cake,6,4
599,Coleslaw,6,3
600,Crispy Fish Sandwich,6,12
601,Crispy Southwest Dippers,6,10
602,Deep-dish Apple Pie,6,4
603,Desert Heat® Based on 1/2 tsp,6,20
604,French fries,6,3
605,French Fries,6,6
606,French Fries Basket,6,3
607,French Fries Regular,6,3
608,French Fries Regular,6,6
609,French Fries Regular,6,15
610,Garden Salad,6,11
611,Gardenburger,6,7
612,Grilled Blackened Chicken Salad,6,11
613,Grilled Chicken Buffalitos,6,8
614,Grilled Chicken Salad,6,11
615,Grilled Chicken Sandwich,6,12
616,Honey BBQ,6,20
617,Honey BBQ Chicken Flatbread,6,12
618,Honey BBQ Chicken Salad,6,11
619,Honey Mustard,6,20
620,Hot,6,20
621,Hot BBQ,6,20
622,Jerk Chicken Sandwich,6,12
623,Kids Cheeseburger Slammer,6,15
624,Kids’ Ice Cream,6,15
625,Macaroni & Cheese,6,15
626,Mango Habanera,6,20
627,Medium,6,20
628,Mild,6,20
629,Mozzarella Sticks,6,10
630,Naked Tenders (3),6,15
631,Naked Tenders (6 each),6,10
632,Naked Tenders (each ),6,8
633,Naked Tenders Wrap,6,16
634,New York Cheesecake,6,4
635,Onion Rings Basket,6,3
636,Onion Rings Regular,6,3
637,Onion Rings Regular,6,3
638,Parmesan Garlic,6,20
639,Parmesan Garlic Flatbread,6,12
640,Pepper Infusion ®,6,20
641,Popcorn Shrimp & Fish,6,5
642,Potato Wedges Basket,6,3
643,Potato Wedges Basket with cheese,6,3
644,Potato Wedges Regular,6,3
645,Potato Wedges Regular,6,3
646,Potato Wedges Regular with cheese,6,3
647,Queso Chili Fries,6,10
648,Ribs & Boneless Wings,6,5
649,Ribs & Chicken Tenders,6,5
650,Ribs & More Ribs,6,5
651,Ribs & Popcorn Shrimp,6,5
652,Ribs & Traditional Wings,6,5
653,Roasted Garlic Mushrooms,6,10
654,Side Salad,6,3
655,Side Salad,6,11
656,Southwest Chicken Queso Wrap,6,16
657,Spicy garlic,6,20
658,Sweet BBQ,6,20
659,Teriyaki,6,20
660,The Sampler,6,10
661,Tortilla chips and salsa,6,3
662,Tortilla chips and salsa,6,3
663,Traditional Wings (4),6,15
664,Ultimate Nachos,6,10
665,Ultimate Nachos With Chicken,6,10
666,Wild®,6,20
667,Wings (each),6,21
668,American Original Chicken Sandwich,7,12
669,Biscuit – w/ Chicken Fritter (Chicken Biscuit),7,17
670,Biscuits (2) & Sausage Gravy Platter,7,17
671,Biscuit‐ w/ Breakfast Steak (Country Fried Steak),7,17
672,BK Big Fish® Sandwich,7,12
673,BK Big Fish® Sandwich w/o Tartar Sauce,7,12
674,BK Toppers™ Deluxe Cheeseburger,7,7
675,BK Toppers™ Mushroom and Swiss,7,7
676,BK Toppers™ Western BBQ Cheeseburger,7,7
677,BK Veggie® Burger,7,7
678,BK Veggie® Burger  w/ Cheese,7,7
679,BK Veggie® Burger  w/o Mayo,7,7
680,BK® Chicken Fries (12 pc),7,3
681,BK® Chicken Fries (6 pc),7,3
682,BK® Chicken Fries (9 pc),7,3
683,BK® Double Stacker,7,7
684,BK® Fresh Apple Fries,7,3
685,BK® Kids Breakfast Muffin Sandwich,7,15
686,BK® Quad Stacker,7,7
687,BK® Single Stacker,7,7
688,BK® Triple Stacker,7,7
689,BK®Chef’s Choice Burger,7,7
690,BK®Egg and Cheese Muffin,7,17
691,BK™ Breakfast Bowl,7,17
692,"BK™ Breakfast Burrito ‐ Potato, Egg, Cheese, & Salsa",7,17
693,"BK™ Breakfast Burrito ‐ Sausage, Egg, Cheese & Salsa",7,17
694,BK™ Breakfast Ciabatta Club Sandwich,7,17
695,BK™ Breakfast Platter,7,17
696,BK™ Ultimate Breakfast Platter,7,17
697,Brownie Sundae,7,4
698,Caramel Sundae,7,4
699,Cheeseburger,7,7
700,Chicken Tenders® (20 pc),7,8
701,Chicken Tenders® (4 pc),7,8
702,Chicken Tenders® (6 pc),7,8
703,Chicken Tenders® (8 pc),7,8
704,Chicken Tenders® Sandwich,7,8
705,Chocolate Chip Cookies (2),7,4
706,Chocolate Fudge Sundae,7,4
707,Chocolate Milk Shake,7,2
708,Chocolate Milk Shake,7,2
709,Chocolate Milk Shake,7,2
710,Cini‐minis (4 minis),7,17
711,Croissan’wich® Egg & Cheese,7,17
712,Croissan’wich® Sausage & Cheese,7,17
713,"Croissan’wich® Sausage, Egg & Cheese",7,17
714,Double Cheeseburger,7,7
715,"Double Croissan’wich™ w/ Sausage, Egg, & Cheese",7,17
716,Double Whopper® Sandwich,7,12
717,Double Whopper® Sandwich w/o Mayo,7,12
718,Double Whopper® Sandwich with Cheese,7,12
719,Double Whopper® Sandwich with Cheese w/o Mayo,7,12
720,Dutch Apple Pie,7,4
721,Enormous Omelet Sandwich,7,17
722,Fanta Cherry frozen concentrated beverage,7,1
723,Fanta Cherry frozen concentrated beverage,7,1
724,French Fries – large (Salted),7,6
